iter	Passed	Remaining
408	6007	1336
409	6019	1321
410	6030	1305
411	6042	1290
412	6053	1275
413	6065	1260
414	6076	1244
415	6089	1229
416	6100	1214
417	6113	1199
418	6126	1184
419	6139	1169
420	6152	1154
421	6163	1139
422	6175	1124
423	6188	1109
424	6201	1094
425	6212	1079
426	6225	1064
427	6236	1049
428	6249	1034
429	6260	1019
430	6271	1003
431	6282	988
432	6294	973
433	6305	958
434	6318	944
435	6330	929
436	6342	914
437	6353	899
438	6366	884
439	6378	869
440	6391	855
441	6405	840
442	6417	825
443	6429	810
444	6442	796
445	6455	781
446	6466	766
447	6476	751
448	6489	737
449	6501	722
450	6514	707
451	6525	692
452	6536	678
453	6549	663
454	6561	648
455	6573	634
456	6586	619
457	6598	605
458	6610	590
459	6624	576
460	6638	561
461	6650	546
462	6662	532
463	6672	517
464	6685	503
465	6696	488
466	6709	474
467	6721	459
468	6732	445
469	6744	430
470	6755	415
471	6766	401
472	6779	386
473	6792	372
474	6804	358
475	6818	343
476	6830	329
477	6843	314
478	6855	300
479	6867	286
480	6878	271
481	6890	257
482	6902	242
483	6914	228
484	6927	214
485	6939	199
486	6951	185
487	6962	171
488	6974	156
489	6986	142
490	6999	128
491	7012	114
492	7026	99
493	7037	85
494	7050	71
495	7063	56
496	7075	42
497	7088	28
498	7099	14
499	7111	0
