iter	Logloss
0	0.5736135406
1	0.5023019524
2	0.4337753622
3	0.3954163373
4	0.3636716594
5	0.3428424462
6	0.3192864961
7	0.2984836647
8	0.2837263331
9	0.2720188887
10	0.2641025947
11	0.25723614
12	0.2503103568
13	0.2453812044
14	0.2402997745
15	0.2354528054
16	0.2312220641
17	0.2295001564
18	0.2276097145
19	0.2243514091
20	0.2225768782
21	0.2216340715
22	0.2203970924
23	0.2189901237
24	0.2172922252
25	0.2164011679
26	0.215440281
27	0.2147078342
28	0.2139163732
29	0.2123538348
30	0.211094853
31	0.2103607625
32	0.2098456978
33	0.2093509869
34	0.2087692424
35	0.2082503934
36	0.207797392
37	0.2069947444
38	0.2066617323
39	0.2058034311
40	0.2047431602
41	0.2045534241
42	0.2042706628
43	0.2038833737
44	0.2035590402
45	0.2030548237
46	0.2028926541
47	0.2026291998
48	0.2024004712
49	0.201781295
50	0.2017458058
51	0.2009281975
52	0.2003896921
53	0.2000904889
54	0.1998840125
55	0.1996428603
56	0.1994611834
57	0.1989351623
58	0.1985099261
59	0.1982855958
60	0.1980663974
61	0.1977788252
62	0.1973052761
63	0.197107416
64	0.1967865949
65	0.1965844161
66	0.195971777
67	0.1956351673
68	0.1954043712
69	0.1952620063
70	0.1950834541
71	0.1948029775
72	0.1944549457
73	0.1943614654
74	0.1942179458
75	0.1934442628
76	0.1933825459
77	0.1933028119
78	0.1931585782
79	0.1928097005
80	0.192300891
81	0.1922026167
82	0.1920703781
83	0.1919486893
84	0.1918351795
85	0.1917032873
86	0.1916023194
87	0.1915418916
88	0.1914184306
89	0.1911716964
90	0.1906746634
91	0.1906170374
92	0.1902931791
93	0.1902589885
94	0.1902537572
95	0.190097237
96	0.1899905975
97	0.1898519053
98	0.1897561734
99	0.1896396447
100	0.1894209442
101	0.189191639
102	0.1889749318
103	0.1886834371
104	0.1883537071
105	0.188083266
106	0.187960315
107	0.187893474
108	0.1878515966
109	0.1877162852
110	0.1875023696
111	0.1873863645
112	0.1871253979
113	0.1870918634
114	0.1868042609
115	0.1865733701
116	0.1864164164
117	0.1862641343
118	0.1861484384
119	0.1860193894
120	0.1859386133
121	0.1858477057
122	0.1856994932
123	0.1853028219
124	0.1851750963
125	0.1850512767
126	0.184864234
127	0.1846338833
128	0.1841602691
129	0.1838731884
130	0.1838262318
131	0.1834682014
132	0.1833678043
133	0.1829953635
134	0.1829192653
135	0.1828150328
136	0.1825987595
137	0.1823871651
138	0.1822883859
139	0.1821053596
140	0.1820608275
141	0.1818015159
142	0.1817233225
143	0.1817005449
144	0.1815482124
145	0.1814495368
146	0.1812099713
147	0.1811453364
148	0.181018038
149	0.1808302712
150	0.1806567092
151	0.1805518758
152	0.1804350496
153	0.1803836461
154	0.1802015685
155	0.1800408493
156	0.179962333
157	0.1798845066
158	0.1798432454
159	0.1797926488
160	0.17968285
161	0.1795889909
162	0.1795258259
163	0.1793804806
164	0.1793204272
165	0.1791055101
166	0.1790230908
167	0.1789799279
168	0.1789288066
169	0.178807314
170	0.1787087289
171	0.1784602907
172	0.1782768685
173	0.1782083059
174	0.1780845888
175	0.1780061254
176	0.1779206008
177	0.1777284553
178	0.1775515404
179	0.1774036573
180	0.1771795862
181	0.1769490323
182	0.1768648623
183	0.1768116802
184	0.1768082015
185	0.1766708833
186	0.1765576497
187	0.1765264114
188	0.1763829914
189	0.1761962837
190	0.1760902901
191	0.176039114
192	0.1759466356
193	0.1759039268
194	0.1758871615
195	0.1756929834
196	0.1756715714
197	0.1754791174
198	0.1753038842
199	0.1752612917
200	0.175157872
201	0.1750151683
202	0.1749664008
203	0.1748802185
204	0.1747865237
205	0.1746837848
206	0.174549775
207	0.174454058
208	0.1744193233
209	0.1741016705
210	0.1740106178
211	0.1738367049
212	0.1737841759
213	0.1736456504
214	0.1735818791
215	0.1734509163
216	0.1731999511
217	0.173145484
218	0.1730504586
219	0.1728316216
220	0.1726993601
221	0.1725789258
222	0.1724089506
223	0.1722838873
224	0.1721917483
